Table S1. The 15 benchmark papers.;;;
Authors;Year;Title;Journal
Wonkson P, Savini T, Gale GA;2012;Effects of habitat quality on the number of alloparents and nest provisioning rates in a cooperatively breeding tropical passerine;Zoological Studies 51: 1464-1474
Langen T, Vehrencamp SL;1998;Ecological factors affecting group and territory size in white-throated magpie-jays;The Auk 115: 327-339
Austad SN, Rabenold KN;1985;Reproductive enhancement by helpers and an experimental inquiry into its mechanism in the bicolored wren;Behavioural Ecology & Sociobiology 17: 19-27
Radford JQ;2004;Breeding biology, adult survival and territoriality of the White-browed Treecreeper (Climacteris affinis) in north-west Victoria, Australia;Emu 104: 305-316
Legge S;2000;The effect of helpers on reproductive success in the laughing kookaburra;Journal of Animal Ecology 69: 714-724
 Zack S, Ligon DJ;1985;Cooperative breeding in Lanius shrikes. I. Habitat and demography of two sympatric species;The Auk 102: 754-765
Nias RC;1984;Territory quality and group size in the superb fairy-wren Malurus cyaneus;Emu 84: 178-180
Brooker M, Rowley I;1995;The significance of territory size and quality in the mating strategy of the splendid fairy-wren;Journal of Animal Ecology 64: 614-627
Curry RL;1988;Group structure, within-group conflict and reproductive tactics in cooperatively breeding Galápagos mockingbirds, Nesomimus parvulus;Animal Behaviour 36: 1708-1728
Seddon N, Tobias JA, Butchart HM;2003;Group living, breeding behaviour and territoriality in the subdesert mesite Monias benschi;Ibis 145: 277-294
 Duca C, Marini MÂ;2014;Territorial system and adult dispersal in a cooperative-breeding tanager;The Auk 131: 32-40
Brown JL, Balda RP;1977;The relationship of habitat quality to group size in Hall's babbler (Pomatostomus halli);The Condor 79: 312-320
Portelli DJ, Barclay H, Russell DJF, Griffith SC, Russell AF;2009;Social organisation and foraging ecology of the cooperatively breeding Chestnut-crowned Babbler;Emu 109: 153-162
Brown JL, Dow DD, Brown ER, Brown SD;1983;Socio-ecology of the grey-crowned babbler: population structure, unit size and vegetation correlates;Behavioural Ecology & Sociobiology 13: 115-124
Monadjem A, Owen-Smith N, Kemp AC;1995;Aspects of the breeding biology of the arrowmarked babbler Turdoides jardineii in South Africa;Ibis 137: 515-518
