Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Group size and composition are correlated with population density in the group-territorial blue korhaan (Eupodotis caerulescens);2006;African Journal of Ecology;44;4;444-451;Moreira, F.;no;NA;NA;NA;exclude;a group territorial species but offspring are precocial and not clear if chicks are fed by adults;
scopus / web of science;The effects of helpers in cooperatively breeding purple gallinules;1985;Behavioral Ecology and Sociobiology;18;2;147-153;Hunter, L.A.;no;NA;NA;NA;exclude;helpers are juveniles;
scopus / web of science;Group size does not influence territory size and overlap in a habituated population of a cooperative breeding Himalayan Galliforme species;2011;ARDEA;99;2;199-206;Yang, Nan and Zhang, Kai and Lloyd, Huw and Ran, Jianghong and Xu, Yu and Du, Beibei and Yue, Bisong and Wang, Ying and Klaus, Siegfried;no;NA;NA;NA;exclude;a group territorial species but offspring are precocial and the reference cited for the breeding system does not report feeding by helpers;
scopus / web of science;Cooperative breeding behavior of purple gallinules (animal, Ralliday, Costa Rica);1986;;;;;Hunter, Laurie A.;no;NA;NA;NA;exclude;helpers are juveniles;
scopus / web of science;Socio-ecological conditions and female infidelity in the Seychelles warbler;2019;BEHAVIORAL ECOLOGY;30;5;1254-1264;Pant, Sara Raj and Komdeur, Jan and Burke, Terry A. and Dugdale, Hannah L. and Richardson, David S.;yes;no;NA;NA;exclude;data provided on Dryad but data structure difficult to understand;
scopus / web of science;Compensatory and additive helper effects in the cooperatively breeding Seychelles warbler (Acrocephalus sechellensis);2019;ECOLOGY AND EVOLUTION;9;5;2986-2995;van Boheemen, Lotte A. and Hammers, Martijn and Kingma, Sjouke A. and Richardson, David S. and Burke, Terry and Komdeur, Jan and Dugdale, Hannah L.;yes;no;NA;NA;exclude;data provided on FigShare but data structure difficult to understand and no README file;
scopus / web of science;Spatiotemporal environmental variation, risk aversion, and the evolution of cooperative breeding as a bet-hedging strategy;2011;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;108;;10816-10822;Rubenstein, Dustin R.;yes;no;NA;NA;exclude;relationship between group size and vegetation cover F statistic reported, but group size is not number of helpers;
scopus / web of science;Survival of juvenile Florida Scrub-Jays is positively correlated with month and negatively correlated with male breeder death;2023;Ornithological Applications;125;4;;Carter, G.M. and Stolen, E.D. and Breininger, D.R. and Legare, S.A. and Hunt, D.K. and Schumann, C.D. and Payne, W.V.;yes;no;NA;NA;exclude;data provided on Dryad, but structure difficult to understand;
scopus / web of science;Territory inheritance and the evolution of cooperative breeding in the acorn woodpecker;2023;Animal Behaviour;205;;241-249;Koenig, W.D. and Haydock, J. and Dugdale, H.L. and Walters, E.L.;yes;no;NA;NA;exclude;data available online, but territory quality is the mean of the bird as a breeder;
scopus / web of science;Group size mediates effects of intraspecific competition and forest structure on productivity in a recovering social woodpecker population;2022;Animal Conservation;25;3;438-452;Garabedian, J.E. and Moorman, C.E. and Peterson, M.N. and Kilgo, J.C.;yes;no;NA;NA;exclude;data provided on FigShare but data structure difficult to understand and no README file, managed population including prescribed fire and artificial cavities;
scopus / web of science;Ecology and breeding biology of a tropical bird, the Lovely Fairy-Wren (Malurus amabilis);2019;Emu;119;1;13.Jan;Leitāo, A.V. and Hall, M.L. and Venables, B. and Mulder, R.A.;yes;no;NA;NA;exclude;"data in Table 2 not group level; supp info provided on FigShare not usable";
scopus / web of science;Breeding ecology of ground tits in northeastern Tibetan plateau, with special reference to cooperative breeding system;2011;Current Zoology;57;6;751-757;Lu, X. and Huo, R. and Li, Y. and Liao, W. and Wang, C.;yes;no;NA;NA;exclude;no supplementary data;
