species,tip_label,Zr,var_Zr,n_groups
acorn woodpecker,Melanerpes_formicivorus,-0.01,0.059,20
arrow marked babbler,Turdoides_jardineii,0.66,0.091,14
australian magpie,Gymnorhina_tibicen,0.59,0.017,36
black tit,Melaniparus_niger,1.29,0.333,6
chesnut-crowned babbler,Pomatostomus_ruficeps,0.16,0.077,16
common babbler,Argya_caudata,0.89,0.100,13
curl-crested jay,Cyanocorax_cristatellus,0.78,1.000,4
galápagos mockingbird,Mimus_parvulus,0.73,0.056,21
gray-backed fiscal shrike,Lanius_excubitoroides,0.37,0.111,12
green woodhoopoe,Phoeniculus_purpureus,0.73,0.050,23
grey-crowned babbler,Pomatostomus_temporalis,1.00,0.333,6
groove-billed ani,Crotophaga_sulcirostris,0.20,0.053,22
jungle babbler,Argya_striata,0.97,0.143,10
laughing kookaburra,Dacelo_novaeguineae,1.29,0.022,48
purple gallinule,Porphyrio_martinica,0.60,0.111,12
red-backed fairy-wren,Malurus_melanocephalus,0.47,0.056,21
red‐cockaded woodpecker,Dryobates_borealis,0.30,0.037,30
rufous treecreeper,Climacteris_rufus,0.16,0.037,30
rufous vanga,Schetba_rufa,0.76,0.333,6
seychelles warbler,Acrocephalus_sechellensis,0.25,0.009,110
stripe-backed wren,Campylorhynchus_nuchalis,0.87,0.044,26
subdesert mesite,Monias_benschi,0.95,0.250,7
superb fairy-wren,Malurus_cyaneus,-0.17,0.040,28
taiwan yuhina,Yuhina_brunneiceps,0.87,0.100,13
variegated fairy-wren,Malurus_lamberti,0.89,0.143,10
white-banded tanager,Neothraupis_fasciata,0.69,0.037,30
white-browed sparrow-weaver,Plocepasser_mahali,0.40,0.032,34
white-browed treecreeper,Climacteris_affinis,1.13,0.111,12
white-throated magpie-jay,Cyanocorax_formosus,0.69,0.091,14
