species,group_ID,D_group_size,D_terr_area,study
jungle babbler,M,-3,-2.24,Gaston Anthony J.
jungle babbler,L,4,0.16,Gaston Anthony J.
green woodhoopoe A,NA,-3,-3.15,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-3,-2.81,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-3,-2.06,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-3,-1.40,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-3,-0.17,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-2,1.83,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-2,-0.80,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-2,-2.02,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-1,-3.37,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-1,-1.68,Radford AN and Du Plessis MA
green woodhoopoe A,NA,-1,0.17,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,1.52,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,0.64,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,-0.30,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,-0.99,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,-1.11,Radford AN and Du Plessis MA
green woodhoopoe A,NA,0,-1.33,Radford AN and Du Plessis MA
green woodhoopoe A,NA,1,-0.96,Radford AN and Du Plessis MA
green woodhoopoe A,NA,1,-0.55,Radford AN and Du Plessis MA
green woodhoopoe A,NA,1,1.55,Radford AN and Du Plessis MA
green woodhoopoe A,NA,1,4.03,Radford AN and Du Plessis MA
green woodhoopoe A,NA,2,0.80,Radford AN and Du Plessis MA
green woodhoopoe B,DD,-12,-95.9,Ligon J.D. and Ligon S.H.
green woodhoopoe B,AD,8,72.3,Ligon J.D. and Ligon S.H.
green woodhoopoe B,BRF,-4,-23.3,Ligon J.D. and Ligon S.H.
grey-crowned babbler,NA,1,10.6,King B.R.
grey-crowned babbler,NA,-1,-3.8,King B.R.
laughing kookaburra,C,-2,-3.9,Parry V
laughing kookaburra,B,-1,-5.6,Parry V
laughing kookaburra,F,2,4.0,Parry V
laughing kookaburra,H,2,3.9,Parry V
laughing kookaburra,D,2,3.7,Parry V
